BatchNo,Value
2019-09-01,13.901416666700001
2019-09-02,14.1239473684
2019-09-03,13.961538461500002
2019-09-04,14.005
2019-09-05,14.0905135135
2019-09-06,13.8176578947
2019-09-07,14.1090789474
2019-09-09,14.099675675699999
2019-09-10,13.9194864865
2019-09-11,14.0793421053
2019-09-12,14.0674473684
2019-09-13,13.918763157899999
2019-09-14,14.244294117599999
2019-09-15,13.990875
2019-09-16,14.0172162162
2019-09-17,13.7968421053
2019-09-18,13.775945945899998
2019-09-19,14.1851891892
2019-09-23,14.1271621622
2019-09-24,14.0874594595
2019-09-25,14.1358421053
2019-09-26,14.0202702703
2019-09-27,14.0172162162
2019-09-28,14.094210526300001
2019-09-30,14.0341612903
2019-10-01,13.9897297297
2019-10-02,13.9652972973
2019-10-03,13.960394736800001
2019-10-04,14.1685526316
2019-10-05,14.12153125
2019-10-06,14.112052631600001
2019-10-07,14.1210540541
2019-10-08,14.0905135135
2019-10-09,13.9011621622
2019-10-10,14.243555555599999
2019-10-11,14.025815789500001
2019-10-14,14.005
2019-10-15,14.1953157895
2019-10-18,14.0141621622
2019-10-20,14.1393783784
2019-10-21,14.047375
2019-10-22,14.0019459459
2019-10-23,13.9897297297
2019-10-24,14.012533333299999
2019-10-25,13.8857222222
2019-10-28,13.6398
2019-10-29,14.154648648599998
2019-10-30,14.1638108108
2019-10-31,14.1626052632
2019-11-01,13.9133783784
2019-11-04,14.092888888900001
2019-11-05,14.0294324324
2019-11-06,14.1058928571
2019-11-07,13.9775135135
2019-11-08,14.1027297297
2019-11-11,14.103131578900001
2019-11-12,14.0508108108
2019-11-13,14.111352941199998
2019-11-14,14.0186969697
2019-11-15,14.1239473684
2019-11-18,13.898108108099999
2019-11-19,14.203513513499999
2019-11-20,14.08975
2019-11-21,14.04384375
2019-11-22,14.234054054100001
2019-11-25,14.0228421053
2019-11-26,13.8504736842
2019-11-27,14.158805555599999
2019-11-28,14.103131578900001
2019-11-29,14.103131578900001
2019-12-02,14.1001578947
